code,name,email,phones,address
44892839,БО «БФ „СЕЛЕКТ“»,BF.SELECT@GMAIL.COM,,"Україна, 61024, Харківська область, місто Харків, вулиця Пушкінська, будинок 2 А"
44804611,ТОВ «ТРУБОПРО»,SPAK.PUBLIC@GMAIL.COM,+380508785559,"Україна, 03164, місто Київ, вулиця Булаховського Академіка, будинок 2, офіс 5"
44024345,ТОВ «ФОРЕЛЛІС КИЇВ»,,,"Україна, 02160, місто Київ, проспект Соборності, будинок 17, квартира 520"
43704650,ТОВ «ВЕЛМА ІНВЕСТ»,velmainvest@ukr.net,+380507041472,"Україна, 79000, Львівська область, місто Львів, вулиця Бескидська, будинок 41"
43262446,ТОВ «РОЯЛ АРТ БУД»,,,"Україна, 04050, місто Київ, провулок Пилипівський, будинок 4"
43094207,ТОВ «ХІМНАФТА»,,+380632898190,"Україна, 03035, місто Київ, вулиця Василя Липківського, будинок 45, офіс 609"
41971729,ФГ «ОРЖИЦЯ-АГРО»,,+380987778913,"Україна, 37700, Полтавська область, Лубенський район, селище міського типу Оржиця, вулиця 30-Річчя Перемоги, будинок 2"
41964711,ТОВ «СЕРКОЛ ЛІМІТЕД»,,+380961305762,"Україна, 03035, місто Київ, вулиця Липківського Василя Митрополита, будинок 45"
41310288,ТОВ «НИВА-2017»,niva2017oil@gmail.com,+380631209409,"Україна, 49000, Дніпропетровська область, місто Дніпро, вулиця Гомельська, будинок 59, офіс 3"
41281273,ТОВ «ГЕОМОНІТОРИНГ»,,+380678056111,"Україна, 01042, місто Київ, вулиця Маккейна Джона, будинок 41/22"
41061295,ТОВ «НАТУРФУД»,,+380981030464,"Україна, 03022, місто Київ, вулиця Василя Жуковського, будинок 26-А"
41039542,ТОВ «БРОН»,,+380989909318,"Україна, 08131, Київська область, Бучанський район, село Софіївська Борщагівка, вулиця Щаслива, будинок 35, офіс 55"
40434252,ТОВ «АКВА ФОРСАЙТ»,aquaforesight@gmail.com,"+380732382997, +380442382997","Україна, 03049, місто Київ, проспект Повітрофлотський, будинок 3, офіс 22"
40313618,ПП «ТД.АВАНТІС»,,+380503120051,"Україна, 02140, місто Київ, вулиця Б. Гмирі, будинок 1/2"
39187845,ТОВ «НК ЕНЕРГОГРУП»,,+380972613719,"Україна, 02002, місто Київ, вулиця Сверстюка Євгена, будинок 2А"
38912642,ТОВ «МОНОЛІТБУД-2001»,,,"Україна, 02183, місто Київ, вулиця Кибальчича Миколи, будинок 13А, приміщення 7"
38005288,ТОВ «МТК „ЛОГІСТИК ЕНД ОЙЛ“»,,+380503731553,"Україна, 39626, Полтавська область, місто Кременчук, вулиця Київська, будинок 65/2"
36820911,ТОВ «ПФП»,,"+380445030207, +380445030208","Україна, 02660, місто Київ, вулиця Червоноткацька, будинок 75"
36715632,ТОВ «ДРОБАК АНЛІМІТЕД КО»,drobakko@gmail.com,+380991023189,"Україна, 18028, Черкаська область, місто Черкаси, вулиця Сурікова, будинок 10"
36060635,ТОВ «ОЛЬВІЯ-1»,,+380442329108,"Україна, 03115, місто Київ, проспект Перемоги, будинок 121-Б, квартира 116"
35918311,ТОВ «ГАТТЕКА»,,+380442436455,"Україна, 01103, місто Київ, вулиця Кіквідзе, будинок 26"
35680578,КОРПОРАЦІЯ «СКЕ»,,+380982779654,"Україна, 49035, Дніпропетровська область, місто Дніпро, вулиця Ковельська, будинок 48"
33955530,ТОВ «СПЕЦСЕРВІС АДС»,,,"Україна, 03126, місто Київ, вулиця Академіка Білецького, будинок 9-В, офіс 23"
33008064,ТОВ «УТІЛСЕРВІС»,,+380447753786,"Україна, 07801, Київська область, Бородянський район, селище міського типу Бородянка, провулок Польовий, будинок 9"
31936646,ПРАТ «БАЗ»,,+380445972003,"Україна, 08322, Київська область, Бориспільський район, село Проліски, вулиця Броварська, будинок 4"
13721907,ТОВ МНВП «ІНЖТЕХБУД»,,,"Україна, 07400, Київська область, місто Бровари, вулиця В. -Інтернаціоналістів, будинок 2"
